"TYPE_CODE","DATEON","PERSONAL","FOREIGNER","COMPANY","FINANCE","INSURANCE","TOOSIN","BANK","ETC_FIN","GOV_FUND","ETC_FUND"
"01","05.04.08",-168.0,-1069.0,1237.0,-7.0,21.0,652.0,23.0,-41.0,588.0,0.0
"01","05.04.11",739.0,-155.0,-584.0,-15.0,-26.0,-529.0,-54.0,-1.0,41.0,0.0
"01","05.04.12",605.0,190.0,-795.0,-175.0,-62.0,518.0,-777.0,-130.0,-169.0,0.0
"01","05.04.13",114.0,-406.0,292.0,-21.0,3.0,611.0,-89.0,-85.0,-127.0,0.0
"01","05.04.14",4340.0,883.0,-5223.0,-365.0,3.0,-1868.0,-75.0,-182.0,-2736.0,0.0
"01","05.04.15",1633.0,144.0,-1776.0,-12.0,35.0,-639.0,-166.0,-307.0,-688.0,0.0
"01","05.04.18",-450.0,-389.0,839.0,661.0,-35.0,968.0,-296.0,-81.0,-378.0,0.0
"01","05.04.19",615.0,-440.0,-174.0,-54.0,36.0,280.0,90.0,-38.0,-489.0,0.0
"01","05.04.20",521.0,754.0,-1274.0,-442.0,24.0,-7.0,67.0,-86.0,-831.0,0.0
"01","05.04.21",-522.0,-973.0,1496.0,-101.0,64.0,477.0,140.0,30.0,885.0,0.0
"01","05.04.22",-1274.0,716.0,559.0,0.0,-20.0,223.0,27.0,21.0,308.0,0.0
"01","05.04.25",-614.0,-475.0,1088.0,103.0,-36.0,523.0,-23.0,12.0,510.0,0.0
"01","05.04.26",-977.0,543.0,434.0,-16.0,153.0,6.0,25.0,-1.0,267.0,0.0
"01","05.04.27",1317.0,-306.0,-1011.0,-419.0,246.0,104.0,79.0,6.0,-1026.0,0.0
"01","05.04.28",348.0,-1254.0,906.0,178.0,88.0,486.0,16.0,18.0,119.0,0.0
"01","05.04.29",-807.0,-865.0,1671.0,218.0,30.0,1154.0,-178.0,-8.0,454.0,0.0
"01","05.05.02",-513.0,83.0,429.0,-82.0,105.0,205.0,-84.0,3.0,283.0,0.0
"01","05.05.03",208.0,12.0,-219.0,15.0,48.0,-366.0,45.0,20.0,19.0,0.0
"01","05.05.04",-550.0,-931.0,1481.0,-17.0,207.0,853.0,106.0,56.0,276.0,0.0
"01","05.05.06",-1684.0,1333.0,351.0,29.0,137.0,-8.0,-68.0,9.0,252.0,0.0
"01","05.05.09",-216.0,1058.0,-841.0,-132.0,46.0,-33.0,-57.0,-2.0,-664.0,0.0
"01","05.05.10",-819.0,-63.0,881.0,-104.0,15.0,566.0,14.0,-7.0,398.0,0.0
"01","05.05.11",-232.0,423.0,-192.0,22.0,31.0,-168.0,0.0,-6.0,-72.0,0.0
"01","05.05.12",-128.0,-701.0,829.0,-132.0,64.0,410.0,1.0,-22.0,508.0,0.0
"01","05.05.13",-85.0,55.0,31.0,66.0,-1.0,-10.0,24.0,-12.0,-37.0,0.0
"01","05.05.16",-758.0,-200.0,957.0,66.0,127.0,542.0,31.0,34.0,157.0,0.0
"01","05.05.17",-515.0,115.0,400.0,-248.0,140.0,385.0,-5.0,-2.0,130.0,0.0
"01","05.05.18",-1083.0,-271.0,1354.0,-214.0,9.0,993.0,-133.0,-5.0,704.0,0.0
"01","05.05.19",-3520.0,-124.0,3643.0,941.0,-49.0,1786.0,-242.0,60.0,1147.0,0.0
"01","05.05.20",-1446.0,1230.0,216.0,-69.0,28.0,296.0,-360.0,28.0,292.0,0.0
"01","05.05.23",-285.0,-522.0,808.0,-74.0,17.0,399.0,20.0,18.0,427.0,0.0
"01","05.05.24",-560.0,-493.0,1052.0,-6.0,92.0,478.0,33.0,6.0,449.0,0.0
"01","05.05.25",-1037.0,1036.0,0.0,308.0,102.0,-622.0,-157.0,10.0,360.0,0.0
"01","05.05.26",-47.0,-1470.0,1517.0,112.0,79.0,809.0,37.0,18.0,463.0,0.0
"01","05.05.27",-2958.0,-86.0,3044.0,-74.0,105.0,1574.0,-78.0,-11.0,1528.0,0.0
"01","05.05.30",-976.0,485.0,491.0,-49.0,38.0,254.0,-82.0,17.0,312.0,0.0
"01","05.05.31",-1100.0,79.0,1022.0,192.0,19.0,212.0,-9.0,113.0,495.0,0.0
"01","05.06.01",-755.0,256.0,499.0,34.0,71.0,201.0,-82.0,9.0,267.0,0.0
"01","05.06.02",-1360.0,1633.0,-273.0,346.0,112.0,-1046.0,62.0,3.0,251.0,0.0
"01","05.06.03",-1319.0,1035.0,283.0,36.0,128.0,-53.0,77.0,-6.0,100.0,0.0
