"TYPE_CODE","DATEON","PERSONAL","FOREIGNER","COMPANY","FINANCE","INSURANCE","TOOSIN","BANK","ETC_FIN","GOV_FUND","ETC_FUND"
"01","24.07.04",-14167.0,3220.0,11106.0,10145.0,91.0,174.0,-43.0,7.0,731.0,-158.0
"01","24.07.03",-2602.0,1007.0,1800.0,1242.0,61.0,159.0,2.0,21.0,316.0,-205.0
"02","24.07.03",-526.0,1866.0,-1280.0,-604.0,-5.0,-384.0,-33.0,-73.0,-181.0,-60.0
"02","24.07.02",2951.0,-1049.0,-1637.0,-137.0,17.0,-1122.0,-16.0,-288.0,-90.0,-266.0
"01","24.07.02",3932.0,-301.0,-3513.0,-1949.0,-106.0,-1381.0,-24.0,-30.0,-23.0,-117.0
"01","24.07.01",-76.0,-642.0,542.0,1260.0,-144.0,-734.0,-134.0,-24.0,318.0,176.0
"02","24.07.01",-1109.0,104.0,1167.0,960.0,43.0,241.0,-12.0,-37.0,-28.0,-162.0
"02","24.06.28",-88.0,565.0,-3.0,81.0,36.0,-112.0,-20.0,-20.0,33.0,-474.0
"01","24.06.28",-2847.0,295.0,2405.0,3071.0,-7.0,53.0,-32.0,-6.0,-674.0,147.0
"01","24.06.27",2547.0,5156.0,-7711.0,-6676.0,-284.0,-74.0,-178.0,-9.0,-492.0,8.0
"02","24.06.27",1190.0,-511.0,-668.0,-209.0,41.0,-499.0,-1.0,-23.0,23.0,-11.0
"02","24.06.26",1309.0,-1118.0,11.0,105.0,-15.0,-60.0,-3.0,-54.0,37.0,-202.0
"01","24.06.26",-1557.0,4335.0,-3050.0,-1998.0,-3.0,-377.0,-104.0,8.0,-576.0,271.0
"01","24.06.25",-2973.0,590.0,2434.0,2458.0,197.0,463.0,39.0,-26.0,-698.0,-52.0
"02","24.06.25",490.0,819.0,-886.0,153.0,-87.0,-721.0,-8.0,-71.0,-152.0,-423.0
"02","24.06.24",2428.0,56.0,-1750.0,-527.0,-30.0,-1027.0,-12.0,-104.0,-50.0,-735.0
"01","24.06.24",4673.0,-5289.0,457.0,694.0,-196.0,502.0,25.0,-162.0,-406.0,158.0
"01","24.06.21",3791.0,-3403.0,-280.0,1310.0,-84.0,-628.0,-166.0,-155.0,-556.0,-108.0
"02","24.06.21",374.0,958.0,-1223.0,-293.0,-31.0,-636.0,-9.0,-92.0,-161.0,-110.0
"02","24.06.20",1292.0,-574.0,-759.0,142.0,-32.0,-837.0,0.0,-21.0,-10.0,42.0
"01","24.06.20",-5845.0,4941.0,1654.0,2382.0,-13.0,-545.0,-32.0,-19.0,-121.0,-749.0
"01","24.06.19",-7510.0,2736.0,5493.0,7374.0,-293.0,-1040.0,51.0,-190.0,-409.0,-719.0
"02","24.06.19",0.0,1045.0,-534.0,66.0,-24.0,-537.0,-3.0,-63.0,26.0,-511.0
"02","24.06.18",196.0,-80.0,-10.0,-282.0,6.0,-47.0,3.0,-17.0,327.0,-106.0
"01","24.06.18",-3428.0,6511.0,-2240.0,49.0,-296.0,-942.0,-17.0,-167.0,-867.0,-843.0
"01","24.06.17",3131.0,-1374.0,-1398.0,699.0,-194.0,-872.0,-20.0,36.0,-1048.0,-359.0
"02","24.06.17",1584.0,3.0,-659.0,3.0,-43.0,-516.0,-1.0,-51.0,-51.0,-928.0
"02","24.06.14",3754.0,-1644.0,-2034.0,245.0,-4.0,-1751.0,3.0,-461.0,-66.0,-77.0
"01","24.06.14",-2136.0,7295.0,-4672.0,-3871.0,-214.0,-797.0,-3.0,-49.0,262.0,-487.0
"01","24.06.13",-14072.0,15387.0,-1055.0,-3653.0,294.0,998.0,-50.0,-101.0,1458.0,-260.0
"02","24.06.13",-14.0,1918.0,-1926.0,-1510.0,30.0,-558.0,-2.0,-68.0,183.0,22.0
"02","24.06.12",-187.0,314.0,37.0,470.0,45.0,-395.0,4.0,-68.0,-18.0,-164.0
"01","24.06.12",-2430.0,2359.0,99.0,755.0,-73.0,-160.0,-5.0,-19.0,-399.0,-28.0
"01","24.06.11",3436.0,-2235.0,-1184.0,-1613.0,-135.0,38.0,-24.0,-1.0,552.0,-18.0
"02","24.06.11",-340.0,152.0,365.0,787.0,6.0,-195.0,-1.0,-103.0,-129.0,-176.0
"02","24.06.10",249.0,-1408.0,981.0,977.0,11.0,-35.0,145.0,4.0,-122.0,178.0
"01","24.06.10",5566.0,179.0,-5670.0,-4690.0,-89.0,-366.0,-14.0,-90.0,-421.0,-75.0
"01","24.06.07",-4715.0,2873.0,1582.0,2503.0,-67.0,-14.0,26.0,-109.0,-758.0,260.0
"02","24.06.07",-3032.0,3255.0,-365.0,-611.0,57.0,113.0,12.0,-7.0,70.0,142.0
"02","24.06.05",-908.0,539.0,373.0,116.0,65.0,126.0,-3.0,-21.0,90.0,-4.0
"01","24.06.05",-3306.0,5901.0,-2596.0,-2781.0,-31.0,457.0,29.0,14.0,-285.0,1.0
"01","24.06.04",5167.0,-2038.0,-3160.0,-1456.0,-30.0,-1183.0,43.0,33.0,-568.0,31.0
"02","24.06.04",-844.0,1033.0,-69.0,37.0,35.0,-107.0,-10.0,-67.0,43.0,-120.0
"02","24.06.03",-1484.0,1334.0,490.0,537.0,-61.0,265.0,15.0,-18.0,-247.0,-340.0
"01","24.06.03",-4230.0,1828.0,2339.0,2393.0,67.0,604.0,63.0,90.0,-879.0,63.0
"01","24.05.31",2812.0,-13399.0,10654.0,10169.0,128.0,7.0,42.0,-49.0,357.0,-67.0
"02","24.05.31",-2249.0,2575.0,-283.0,-19.0,11.0,156.0,5.0,-117.0,-320.0,-43.0
"02","24.05.30",-214.0,390.0,212.0,549.0,24.0,-312.0,-3.0,-158.0,112.0,-388.0
"01","24.05.30",11907.0,-7776.0,-4477.0,-3468.0,-94.0,-787.0,1.0,-16.0,-113.0,347.0
"01","24.05.29",12724.0,-10220.0,-2582.0,-2278.0,32.0,-537.0,27.0,-21.0,195.0,78.0
