"TYPE_CODE","DATEON","PERSONAL","FOREIGNER","COMPANY","FINANCE","INSURANCE","TOOSIN","BANK","ETC_FIN","GOV_FUND","ETC_FUND"
"02","05.04.15",49.0,100.0,-150.0,-5.0,-27.0,-26.0,-4.0,-9.0,-79.0,0.0
"02","05.04.18",-119.0,13.0,105.0,69.0,-7.0,65.0,-27.0,-4.0,9.0,0.0
"02","05.04.19",38.0,28.0,-66.0,-20.0,22.0,-33.0,-6.0,-1.0,-28.0,0.0
"02","05.04.20",-18.0,150.0,-132.0,-22.0,-10.0,-39.0,-13.0,-17.0,-32.0,0.0
"02","05.04.21",-199.0,93.0,105.0,-2.0,-4.0,44.0,-4.0,0.0,72.0,0.0
"02","05.04.22",-146.0,150.0,-4.0,29.0,15.0,-47.0,2.0,-1.0,-1.0,0.0
"02","05.04.25",-73.0,10.0,63.0,27.0,-23.0,66.0,0.0,-4.0,-5.0,0.0
"02","05.04.26",-193.0,14.0,179.0,4.0,3.0,85.0,8.0,-4.0,82.0,0.0
"02","05.04.27",26.0,-43.0,17.0,-17.0,7.0,42.0,-7.0,-10.0,2.0,0.0
"02","05.04.28",-160.0,43.0,117.0,39.0,13.0,36.0,8.0,1.0,20.0,0.0
"02","05.04.29",-73.0,16.0,56.0,-2.0,1.0,49.0,-20.0,0.0,29.0,0.0
"02","05.05.02",-74.0,117.0,-44.0,14.0,2.0,-15.0,-22.0,-1.0,-21.0,0.0
"02","05.05.03",-107.0,152.0,-45.0,-8.0,2.0,49.0,-35.0,-6.0,-47.0,0.0
"02","05.05.04",-31.0,32.0,-1.0,48.0,8.0,-36.0,-2.0,10.0,-30.0,0.0
"02","05.05.06",-77.0,65.0,12.0,31.0,1.0,-22.0,18.0,3.0,-20.0,0.0
"02","05.05.09",4.0,39.0,-43.0,-22.0,2.0,-6.0,-14.0,-3.0,0.0,0.0
"02","05.05.10",46.0,42.0,-87.0,19.0,8.0,-22.0,-9.0,-3.0,-80.0,0.0
"02","05.05.11",80.0,-14.0,-66.0,-60.0,21.0,25.0,-10.0,-49.0,7.0,0.0
"02","05.05.12",-161.0,138.0,22.0,-48.0,30.0,37.0,-11.0,11.0,4.0,0.0
"02","05.05.13",-209.0,135.0,74.0,16.0,22.0,-15.0,11.0,12.0,28.0,0.0
"02","05.05.16",-97.0,84.0,13.0,15.0,5.0,40.0,12.0,-11.0,-48.0,0.0
"02","05.05.17",49.0,-47.0,-1.0,22.0,19.0,20.0,7.0,-5.0,-64.0,0.0
"02","05.05.18",-79.0,114.0,-35.0,-22.0,10.0,-20.0,-14.0,-5.0,17.0,0.0
"02","05.05.19",-335.0,28.0,307.0,63.0,16.0,128.0,11.0,3.0,86.0,0.0
"02","05.05.20",-251.0,181.0,70.0,17.0,18.0,24.0,-3.0,-5.0,20.0,0.0
"02","05.05.23",-231.0,172.0,58.0,25.0,-3.0,79.0,9.0,-4.0,-48.0,0.0
"02","05.05.24",-178.0,110.0,67.0,-11.0,6.0,61.0,12.0,-3.0,2.0,0.0
"02","05.05.25",-152.0,102.0,50.0,-26.0,6.0,83.0,-28.0,6.0,10.0,0.0
"02","05.05.26",-101.0,-8.0,109.0,-45.0,31.0,78.0,-4.0,-18.0,68.0,0.0
"02","05.05.27",-260.0,60.0,200.0,-23.0,14.0,101.0,14.0,11.0,82.0,0.0
"02","05.05.30",-64.0,7.0,57.0,-23.0,11.0,31.0,36.0,-9.0,10.0,0.0
"02","05.05.31",-366.0,363.0,4.0,-21.0,-16.0,57.0,5.0,19.0,-41.0,0.0
"02","05.06.01",52.0,-59.0,7.0,24.0,-3.0,5.0,-18.0,-4.0,3.0,0.0
"02","05.06.02",-233.0,241.0,-8.0,23.0,29.0,-10.0,-30.0,1.0,-22.0,0.0
"02","05.06.03",-197.0,204.0,-7.0,32.0,7.0,27.0,15.0,-9.0,-78.0,0.0
"02","05.06.07",76.0,-2.0,-74.0,-48.0,5.0,-9.0,14.0,1.0,-36.0,0.0
"02","05.06.08",-132.0,124.0,7.0,-2.0,9.0,66.0,-14.0,-10.0,-42.0,0.0
"02","05.06.09",-47.0,224.0,-177.0,73.0,-13.0,-3.0,-36.0,-5.0,-194.0,0.0
"02","05.06.10",-35.0,103.0,-68.0,29.0,-10.0,-19.0,-21.0,16.0,-63.0,0.0
"02","05.06.13",10.0,91.0,-100.0,-12.0,17.0,-51.0,-25.0,-5.0,-24.0,0.0
"02","05.06.14",106.0,37.0,-143.0,-34.0,18.0,-12.0,-34.0,12.0,-93.0,0.0
"02","05.06.15",-37.0,-208.0,245.0,4.0,13.0,64.0,-16.0,7.0,172.0,0.0
"02","05.06.16",-95.0,-17.0,112.0,10.0,8.0,61.0,18.0,4.0,10.0,0.0
"02","05.06.17",40.0,47.0,-87.0,-5.0,5.0,-44.0,2.0,-2.0,-45.0,0.0
"02","05.06.20",93.0,-47.0,-46.0,33.0,27.0,-41.0,-29.0,-1.0,-35.0,0.0
"02","05.06.21",149.0,-82.0,-66.0,-12.0,29.0,19.0,-5.0,-22.0,-75.0,0.0
"02","05.06.22",-21.0,11.0,10.0,31.0,21.0,74.0,-52.0,-8.0,-56.0,0.0
"02","05.06.23",-11.0,65.0,-54.0,39.0,12.0,28.0,-103.0,-12.0,-18.0,0.0
"02","05.06.24",-18.0,-28.0,46.0,-33.0,39.0,87.0,-1.0,-7.0,-38.0,0.0
"02","05.06.27",37.0,-11.0,-27.0,-18.0,28.0,32.0,-13.0,-16.0,-40.0,0.0
"02","05.06.28",125.0,-124.0,-1.0,0.0,19.0,46.0,1.0,-13.0,-54.0,0.0
"02","05.06.29",-135.0,-13.0,148.0,31.0,8.0,160.0,10.0,-13.0,-47.0,0.0
"02","05.06.30",-222.0,-20.0,242.0,-4.0,42.0,213.0,-19.0,1.0,10.0,0.0
"02","05.07.01",-134.0,32.0,103.0,21.0,16.0,54.0,26.0,41.0,-56.0,0.0
"02","05.07.04",-141.0,114.0,27.0,-28.0,26.0,54.0,14.0,11.0,-50.0,0.0
"02","05.07.05",100.0,-50.0,-51.0,-29.0,11.0,-11.0,-39.0,24.0,-6.0,0.0
"02","05.07.06",-90.0,137.0,-47.0,8.0,19.0,-26.0,-25.0,15.0,-39.0,0.0
"02","05.07.07",-146.0,25.0,121.0,39.0,47.0,-22.0,21.0,13.0,23.0,0.0
"02","05.07.08",-225.0,155.0,70.0,-12.0,48.0,15.0,-27.0,19.0,26.0,0.0
"02","05.07.11",-26.0,118.0,-91.0,27.0,-21.0,-71.0,-6.0,-6.0,-13.0,0.0
"02","05.07.12",29.0,43.0,-72.0,35.0,3.0,-105.0,6.0,-2.0,-9.0,0.0
"02","05.07.13",230.0,-54.0,-177.0,-16.0,-18.0,-21.0,-35.0,6.0,-92.0,0.0
"02","05.07.14",208.0,-3.0,-204.0,4.0,-61.0,-51.0,-6.0,-1.0,-90.0,0.0
"02","05.07.15",-46.0,108.0,-62.0,-5.0,17.0,-26.0,-3.0,-9.0,-36.0,0.0
"02","05.07.18",112.0,116.0,-228.0,-6.0,2.0,-20.0,-50.0,2.0,-156.0,0.0
"02","05.07.19",293.0,-21.0,-272.0,-32.0,6.0,-88.0,-25.0,4.0,-136.0,0.0
"02","05.07.20",191.0,57.0,-248.0,-42.0,-17.0,-81.0,-28.0,-15.0,-65.0,0.0
"02","05.07.21",192.0,-48.0,-145.0,-4.0,-15.0,-16.0,-48.0,2.0,-63.0,0.0
"02","05.07.22",-106.0,45.0,61.0,-16.0,3.0,54.0,-38.0,13.0,44.0,0.0
"02","05.07.25",111.0,-69.0,-42.0,10.0,18.0,-45.0,-20.0,-9.0,3.0,0.0
"02","05.07.26",60.0,160.0,-220.0,-12.0,0.0,-61.0,-31.0,0.0,-117.0,0.0
"02","05.07.27",95.0,-48.0,-47.0,8.0,33.0,-29.0,-7.0,-7.0,-45.0,0.0
"02","05.07.28",85.0,-90.0,4.0,21.0,26.0,106.0,-17.0,7.0,-140.0,0.0
"02","05.07.29",9.0,86.0,-95.0,-13.0,19.0,-53.0,-68.0,19.0,1.0,0.0
"02","05.08.01",385.0,-131.0,-254.0,-25.0,12.0,-5.0,-17.0,-10.0,-208.0,0.0
"02","05.08.02",239.0,-6.0,-233.0,18.0,12.0,20.0,-8.0,-4.0,-273.0,0.0
"02","05.08.03",338.0,67.0,-405.0,-57.0,-24.0,-175.0,-90.0,-6.0,-54.0,0.0
"02","05.08.04",274.0,139.0,-413.0,-41.0,-35.0,-106.0,-49.0,-10.0,-172.0,0.0
"02","05.08.05",90.0,115.0,-205.0,-44.0,13.0,-19.0,5.0,-2.0,-158.0,0.0
"02","05.08.08",53.0,63.0,-116.0,-35.0,-3.0,21.0,-11.0,-28.0,-62.0,0.0
"02","05.08.09",-1.0,100.0,-99.0,-9.0,32.0,-55.0,0.0,7.0,-75.0,0.0
"02","05.08.10",-75.0,174.0,-100.0,-61.0,-29.0,-54.0,2.0,7.0,35.0,0.0
"02","05.08.11",-182.0,181.0,1.0,-46.0,-26.0,86.0,3.0,-6.0,-10.0,0.0
"02","05.08.12",-68.0,323.0,-255.0,53.0,0.0,12.0,-25.0,4.0,-300.0,0.0
"02","05.08.16",275.0,-200.0,-76.0,-38.0,-2.0,-1.0,-31.0,0.0,-3.0,0.0
"02","05.08.17",168.0,-234.0,66.0,-12.0,10.0,52.0,-25.0,-1.0,42.0,0.0
"02","05.08.18",-40.0,-95.0,135.0,4.0,37.0,102.0,-14.0,-4.0,10.0,0.0
"02","05.08.19",58.0,-26.0,-32.0,-30.0,28.0,92.0,-38.0,-20.0,-64.0,0.0
"02","05.08.22",-267.0,46.0,221.0,10.0,6.0,91.0,-12.0,-8.0,133.0,0.0
"02","05.08.23",-30.0,82.0,-51.0,9.0,-9.0,30.0,-8.0,-8.0,-64.0,0.0
"02","05.08.24",233.0,-231.0,-1.0,-9.0,32.0,15.0,-23.0,-6.0,-10.0,0.0
"02","05.08.25",78.0,-229.0,151.0,3.0,11.0,160.0,-9.0,-4.0,-10.0,0.0
"02","05.08.26",-9.0,41.0,-32.0,-29.0,-25.0,39.0,-5.0,-7.0,-5.0,0.0
"02","05.08.29",58.0,20.0,-78.0,-8.0,30.0,-65.0,16.0,-10.0,-41.0,0.0
"02","05.08.30",24.0,-94.0,70.0,-8.0,25.0,135.0,4.0,8.0,-93.0,0.0
"02","05.08.31",-195.0,30.0,164.0,-13.0,16.0,120.0,-20.0,4.0,58.0,0.0
